Record ID,title,abstract,domain_category,domain_source,domain_excerpt,F2_status,F2_source,F2_excerpt,F2_reasoning,F3_status,F3_source,F3_excerpt,F3_reasoning,F4_status,F4_source,F4_excerpt,F4_reasoning,F5_status,F5_source,F5_excerpt,F5_reasoning,F6_status,F6_source,F6_excerpt,F6_reasoning,F7_status,F7_source,F7_excerpt,F7_reasoning,F8_status,F8_source,F8_excerpt,F8_reasoning,F2_to_F3_status,F2_to_F3_source,F2_to_F3_excerpt,F2_to_F3_reasoning,F4_to_F3_status,F4_to_F3_source,F4_to_F3_excerpt,F4_to_F3_reasoning,F5_to_F6_status,F5_to_F6_source,F5_to_F6_excerpt,F5_to_F6_reasoning,multi_primary_status,tracking_only,hard_cap,penalty_points,raw_score,final_score,predicted_relevance,explicit_primary_relationships,explicit_primary_features,rank,noise_flags,gate_evidence,penalty_evidence,domain_points,F2_points,F3_points,F4_points,F5_points,F6_points,F7_points,F8_points,F2_to_F3_points,F4_to_F3_points,F5_to_F6_points,multi_primary_points
BC001-7B265B30DE83,Method of monitoring and trigger-locking a firearm,"A method of monitoring and trigger-locking a firearm prevents unauthorized persons from firing the firearm. When a person picks up the firearm, a biometric scanner retrieves an unidentified biometric reading off of the person. The biometric scanner can be a palm-print reader and/or a fingerprint reader. If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger. In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module. If the unidentified biometric reading does match an authorized user signature stored on the chipset, and if the firearm has locked its trigger, then firearm automatically unlocks its trigger. The firearm also collects situational data from environmental sensors when the firearm discharges a round.",firearm,title,Method of monitoring and trigger-locking a firearm,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,A,,,,E,abstract,The firearm also collects situational data from environmental sensors when the firearm discharges a round.,,E,abstract,"In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module.",,A,,,,A,,,,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,A,,,,I,abstract,"In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module.",The system transmits to an external destination and separately collects firearm data; transmission of that data is inferred.,3 established; 3 explicit,False,100,0,69.0,69.0,M+,1,3,1,[],{},{},10.0,12.0,16.0,0.0,10.0,4.0,0.0,0.0,14.0,0.0,1.0,2.0
BC001-915BDE3552D6,Intelligent weapon,"A system for monitoring use of a weapon. The system includes a monitoring station and at least one weapon in which the weapon fires a projectile. The weapon includes a tracking device, in which the tracking device receives navigational data, and a transceiver. The transceiver transmits at least the navigational data to the monitoring station. The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user. In one arrangement, the tracking device can be a global positioning system receiver that can receive navigational data from a plurality of global positioning system satellites.",firearm,title,Intelligent weapon,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,A,,,,E,abstract,"The weapon includes a tracking device, in which the tracking device receives navigational data, and a transceiver.",,E,abstract,The system includes a monitoring station and at least one weapon in which the weapon fires a projectile.,,A,,,,A,,,,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,A,,,,I,abstract,The transceiver transmits at least the navigational data to the monitoring station.,The system transmits to an external destination and separately collects firearm data; transmission of that data is inferred.,3 established; 3 explicit,True,100,0,69.0,69.0,M+,1,3,2,[],{},{},10.0,12.0,16.0,0.0,10.0,4.0,0.0,0.0,14.0,0.0,1.0,2.0
BC001-0031124B24F1,Fingerprint operating gun case,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1). is to include one power supply",firearm,title,Fingerprint operating gun case,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,A,,,,A,,,,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,A,,,,3 established; 3 explicit,True,100,0,64.0,64.0,M+,1,3,3,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-3F53B09CDA35,Safety system with biometric locking applied in holders for size and controlled storage of firearms,"SAFETY SYSTEM WITH BIOMETRIC LOCKING APPLIED IN HOLDERS FOR SIZE AND CONTROLLED STORAGE OF FIREARMS. The present invention patent application relates to a security system (1) described and applied to holsters (2) for the controlled storage of firearms. The present system includes a holster (2) with a locking mechanism (3) operated by a biometric sensor (4). Access to the weapon is restricted to authorized users whose fingerprints are recorded in the security system (1). The holster (2) is molded to fit specifically to the gun, ensuring a secure engagement and preventing accidental firing. The locking mechanism (3) has a locking handle (5) that covers the trigger of the weapon, blocking access to it. The locking handle (5) can only be unlocked by biometric authentication using the biometric sensor (4) strategically located in the holster (2). The biometric sensor (4) is highly sensitive and provides quick access to authorized users. The system also includes a locking base (6) with a locking mechanism (7), activated when an authorized user is identified by the biometric sensor (4), allowing access to the gun trigger. Powered by a battery (8), the system has an alert (9) for low battery. Additionally, it is adaptable to different types and sizes of weapons and can register multiple users, making it suitable for use in police or military forces. The field of application is directed to the sector of safety equipment, more particularly, in secure storage devices for firearms.",firearm,title,Safety system with biometric locking applied in holders for size and controlled storage of firearms,E,abstract,Access to the weapon is restricted to authorized users whose fingerprints are recorded in the security system (1).,,E,abstract,"The system also includes a locking base (6) with a locking mechanism (7), activated when an authorized user is identified by the biometric sensor (4), allowing access to the gun trigger.",,A,,,,E,abstract,Access to the weapon is restricted to authorized users whose fingerprints are recorded in the security system (1).,,A,,,,A,,,,A,,,,E,abstract,"The system also includes a locking base (6) with a locking mechanism (7), activated when an authorized user is identified by the biometric sensor (4), allowing access to the gun trigger.",,A,,,,A,,,,3 established; 3 explicit,False,100,0,64.0,64.0,M+,1,3,4,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-B5BE2EF6266D,Firearm Safety Assembly,A firearm safety assembly for preventing the firearm from being discharged by an unauthorized user includes a processor coupled to a firearm. A fingerprint scanner is coupled to the firearm. The fingerprint scanner may read an authorized user's fingerprint. The fingerprint scanner is operationally coupled to the processor. A thumbprint scanner is coupled to the firearm. The thumbprint scanner may read the authorized user's thumbprint. The thumbprint scanner is operationally coupled to the processor. A trigger lock is coupled to the firearm. The trigger lock is operationally coupled to the processor. The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint. A GPS is coupled to the firearm. The GPS is operationally coupled to the processor. The GPS determining a location of the firearm.,firearm,title,Firearm Safety Assembly,E,abstract,The fingerprint scanner may read an authorized user's fingerprint.,,E,abstract,The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint.,,A,,,,E,abstract,A GPS is coupled to the firearm.,,A,,,,A,,,,A,,,,E,abstract,The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint.,,A,,,,A,,,,3 established; 3 explicit,True,100,0,64.0,64.0,M+,1,3,5,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-EAD37A2B9B33,Remote managing method and apparatus for firearm,"A remote management method for a firearm according to the present invention includes a step of monitoring whether a release event from a firearm storage place is generated by a firearm supporting a selective firing mode based on a fingerprint recognition, a step of tracking whether the released firearm is out of a predetermined permission area when the release event is generated; and a step of giving warning of the AWOL of the release firearm when the released firearm is out of the predetermined permission area.So, safety accidents can be prevented.COPYRIGHT KIPO 2017",firearm,title,Remote managing method and apparatus for firearm,E,abstract,"A remote management method for a firearm according to the present invention includes a step of monitoring whether a release event from a firearm storage place is generated by a firearm supporting a selective firing mode based on a fingerprint recognition, a step of tracking whether the released firearm is out of a predetermined permission area when the release event is generated; and a step of giving warning of the AWOL of the release firearm when the released firearm is out of the predetermined permission area.",,E,abstract,"A remote management method for a firearm according to the present invention includes a step of monitoring whether a release event from a firearm storage place is generated by a firearm supporting a selective firing mode based on a fingerprint recognition, a step of tracking whether the released firearm is out of a predetermined permission area when the release event is generated; and a step of giving warning of the AWOL of the release firearm when the released firearm is out of the predetermined permission area.",,A,,,,E,abstract,"A remote management method for a firearm according to the present invention includes a step of monitoring whether a release event from a firearm storage place is generated by a firearm supporting a selective firing mode based on a fingerprint recognition, a step of tracking whether the released firearm is out of a predetermined permission area when the release event is generated; and a step of giving warning of the AWOL of the release firearm when the released firearm is out of the predetermined permission area.",,A,,,,A,,,,A,,,,E,abstract,"A remote management method for a firearm according to the present invention includes a step of monitoring whether a release event from a firearm storage place is generated by a firearm supporting a selective firing mode based on a fingerprint recognition, a step of tracking whether the released firearm is out of a predetermined permission area when the release event is generated; and a step of giving warning of the AWOL of the release firearm when the released firearm is out of the predetermined permission area.",,A,,,,A,,,,3 established; 3 explicit,False,100,0,64.0,64.0,M+,1,3,6,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-5E0CE61B9F95,Personalized intelligent identification police-used gun management device and system,"The embodiment of the invention provides a personalized intelligent identification police-used gun management device and system. The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging. According to the personalizedintelligent identification police-used gun management device and system, personalization of a police-used gun can be achieved, the gun is locked as soon as the gun is separated from the hand, an opponent can not use the gun after the gun is snatched, and the gun can be found through a real-time positioning function after being lost.",attached_firing_control,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,A,,,,A,,,,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,A,,,,3 established; 3 explicit,True,100,0,62.0,62.0,M+,1,3,7,[],{},{},8.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-C3791D5EE3E9,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control","Cartridges for firearms are created with extended flash tubes to ignite the propellant efficiently from base of the projectile to the interior rear of the cartridge case. Some firearms include a specially designed trigger and microphone capable of verifying a user's identity so that only an authorized user can discharge the firearm. Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",firearm,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",A,,,,E,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,A,,,,A,,,,A,,,,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,3 established; 3 explicit,False,100,0,62.0,62.0,M+,1,3,8,[],{},{},10.0,0.0,16.0,14.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
BC001-D3C36118E9E6,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control","Cartridges for firearms are created with extended flash tubes to ignite the propellant efficiently from base of the projectile to the interior rear of the cartridge case. Some firearms include a specially designed trigger and microphone capable of verifying a user's identity so that only an authorized user can discharge the firearm. Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",firearm,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",A,,,,E,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,A,,,,A,,,,A,,,,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,3 established; 3 explicit,False,100,0,62.0,62.0,M+,1,3,9,[],{},{},10.0,0.0,16.0,14.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
BC001-E29EB3FB218C,Gun System and Gun Control Management System Prohibit Gun Violence in Reactive and Proactive,"The Gun System and Gun-Control Management System is a two part system to thwart gun violence in any places. The Gun System is a microprocessor with memory and supporting components that are embedded in the gun. The CPU of the Gun System executes software with data from the memory to identify authorized users with stand-alone electrical device; to discharge Unauthorized user with remote power switch or systems; to prohibit firearm use in restricted areas such as schools and other public places with GPS device and disable the gun trigger by moving it into the locked position with disabling device. In this way, the gun system thwarts gun violence in a reactive mode. The Gun-Control Management system maintains a plurality of database in communication with multiple gun systems to thwarts gun violence in proactive mode.",firearm,title,Gun System and Gun Control Management System Prohibit Gun Violence in Reactive and Proactive,A,,,,I,abstract,The CPU of the Gun System executes software with data from the memory to identify authorized users with stand-alone electrical device; to discharge Unauthorized user with remote power switch or systems; to prohibit firearm use in restricted areas such as schools and other public places with GPS device and disable the gun trigger by moving it into the locked position with disabling device.,"Firearm firing control is stated alongside user authorization in the title/abstract, but their dependency is not explicit in this excerpt.",E,abstract,The CPU of the Gun System executes software with data from the memory to identify authorized users with stand-alone electrical device; to discharge Unauthorized user with remote power switch or systems; to prohibit firearm use in restricted areas such as schools and other public places with GPS device and disable the gun trigger by moving it into the locked position with disabling device.,,E,abstract,The CPU of the Gun System executes software with data from the memory to identify authorized users with stand-alone electrical device; to discharge Unauthorized user with remote power switch or systems; to prohibit firearm use in restricted areas such as schools and other public places with GPS device and disable the gun trigger by moving it into the locked position with disabling device.,,E,abstract,The Gun-Control Management system maintains a plurality of database in communication with multiple gun systems to thwarts gun violence in proactive mode.,,A,,,,A,,,,A,,,,E,abstract,The CPU of the Gun System executes software with data from the memory to identify authorized users with stand-alone electrical device; to discharge Unauthorized user with remote power switch or systems; to prohibit firearm use in restricted areas such as schools and other public places with GPS device and disable the gun trigger by moving it into the locked position with disabling device.,,I,abstract,The Gun-Control Management system maintains a plurality of database in communication with multiple gun systems to thwarts gun violence in proactive mode.,The system transmits to an external destination and separately collects firearm data; transmission of that data is inferred.,3 established; 2 explicit,False,100,0,56.6,56.6,M+,1,2,10,[],{},{},10.0,0.0,5.6,14.0,10.0,4.0,0.0,0.0,0.0,10.0,1.0,2.0
